username,fullname,email,department,site,groups,ou
alexandre.gautier,Alexandre Gautier,alexandre.gautier@nova-syndicate.fr,HR,Lyon,Lyon-Staff,"OU=Lyon,DC=nova-syndicate,DC=local"
pierre.gauthier,Pierre Gauthier,pierre.gauthier@nova-syndicate.fr,HR,Lyon,Lyon-Staff,"OU=Lyon,DC=nova-syndicate,DC=local"
julien.bonnet,Julien Bonnet,julien.bonnet@nova-syndicate.fr,HR,Lyon,Lyon-Staff,"OU=Lyon,DC=nova-syndicate,DC=local"
sandrine.lopez,Sandrine Lopez,sandrine.lopez@nova-syndicate.fr,Compliance,Lyon,Lyon-Staff|Compliance,"OU=Lyon,DC=nova-syndicate,DC=local"
baptiste.durand,Baptiste Durand,baptiste.durand@nova-syndicate.fr,Compliance,Lyon,Lyon-Staff|Compliance,"OU=Lyon,DC=nova-syndicate,DC=local"
patrick.rousseau,Patrick Rousseau,patrick.rousseau@nova-syndicate.fr,Operations,Lyon,Lyon-Staff,"OU=Lyon,DC=nova-syndicate,DC=local"
clara.fleury,Clara Fleury,clara.fleury@nova-syndicate.fr,IT,Marseille,Marseille-Staff|IT-Admins,"OU=Marseille,DC=nova-syndicate,DC=local"
patrick.roger,Patrick Roger,patrick.roger@nova-syndicate.fr,IT,Marseille,Marseille-Staff|IT-Admins,"OU=Marseille,DC=nova-syndicate,DC=local"
baptiste.roger,Baptiste Roger,baptiste.roger@nova-syndicate.fr,IT,Marseille,Marseille-Staff|IT-Admins,"OU=Marseille,DC=nova-syndicate,DC=local"
sebastien.lemaire,Sebastien Lemaire,sebastien.lemaire@nova-syndicate.fr,Sales,Marseille,Marseille-Staff|Sales,"OU=Marseille,DC=nova-syndicate,DC=local"
david.roussel,David Roussel,david.roussel@nova-syndicate.fr,Sales,Marseille,Marseille-Staff|Sales,"OU=Marseille,DC=nova-syndicate,DC=local"
lucie.richard,Lucie Richard,lucie.richard@nova-syndicate.fr,Sales,Marseille,Marseille-Staff|Sales,"OU=Marseille,DC=nova-syndicate,DC=local"
elodie.david,Elodie David,elodie.david@nova-syndicate.fr,Sales,Marseille,Marseille-Staff|Sales,"OU=Marseille,DC=nova-syndicate,DC=local"
camille.roger,Camille Roger,camille.roger@nova-syndicate.fr,Sales,Marseille,Marseille-Staff|Sales,"OU=Marseille,DC=nova-syndicate,DC=local"
lucas.morin,Lucas Morin,lucas.morin@nova-syndicate.fr,Logistics,Marseille,Marseille-Staff|Logistics,"OU=Marseille,DC=nova-syndicate,DC=local"
manon.dupont,Manon Dupont,manon.dupont@nova-syndicate.fr,Logistics,Marseille,Marseille-Staff|Logistics,"OU=Marseille,DC=nova-syndicate,DC=local"
nathalie.lefebvre,Nathalie Lefebvre,nathalie.lefebvre@nova-syndicate.fr,Logistics,Marseille,Marseille-Staff|Logistics,"OU=Marseille,DC=nova-syndicate,DC=local"
laurent.vincent,Laurent Vincent,laurent.vincent@nova-syndicate.fr,Logistics,Marseille,Marseille-Staff|Logistics,"OU=Marseille,DC=nova-syndicate,DC=local"
nathalie.joly,Nathalie Joly,nathalie.joly@nova-syndicate.fr,Logistics,Marseille,Marseille-Staff|Logistics,"OU=Marseille,DC=nova-syndicate,DC=local"
caroline.muller,Caroline Muller,caroline.muller@nova-syndicate.fr,Logistics,Marseille,Marseille-Staff|Logistics,"OU=Marseille,DC=nova-syndicate,DC=local"
patrick.durand,Patrick Durand,patrick.durand@nova-syndicate.fr,Finance,Marseille,Marseille-Staff|Finance,"OU=Marseille,DC=nova-syndicate,DC=local"
laura.dupont,Laura Dupont,laura.dupont@nova-syndicate.fr,Finance,Marseille,Marseille-Staff|Finance,"OU=Marseille,DC=nova-syndicate,DC=local"
gaetan.garcia,Gaetan Garcia,gaetan.garcia@nova-syndicate.fr,Finance,Marseille,Marseille-Staff|Finance,"OU=Marseille,DC=nova-syndicate,DC=local"
hugo.dubois,Hugo Dubois,hugo.dubois@nova-syndicate.fr,Finance,Marseille,Marseille-Staff|Finance,"OU=Marseille,DC=nova-syndicate,DC=local"
claire.guerin,Claire Guerin,claire.guerin@nova-syndicate.fr,HR,Marseille,Marseille-Staff,"OU=Marseille,DC=nova-syndicate,DC=local"
thomas.morel,Thomas Morel,thomas.morel@nova-syndicate.fr,HR,Marseille,Marseille-Staff,"OU=Marseille,DC=nova-syndicate,DC=local"
nathalie.vasseur,Nathalie Vasseur,nathalie.vasseur@nova-syndicate.fr,HR,Marseille,Marseille-Staff,"OU=Marseille,DC=nova-syndicate,DC=local"
camille.lemaire,Camille Lemaire,camille.lemaire@nova-syndicate.fr,HR,Marseille,Marseille-Staff,"OU=Marseille,DC=nova-syndicate,DC=local"
laure.giraud,Laure Giraud,laure.giraud@nova-syndicate.fr,Compliance,Marseille,Marseille-Staff|Compliance,"OU=Marseille,DC=nova-syndicate,DC=local"
matthieu.gerard,Matthieu Gerard,matthieu.gerard@nova-syndicate.fr,Compliance,Marseille,Marseille-Staff|Compliance,"OU=Marseille,DC=nova-syndicate,DC=local"
mathilde.martinez,Mathilde Martinez,mathilde.martinez@nova-syndicate.fr,Operations,Marseille,Marseille-Staff,"OU=Marseille,DC=nova-syndicate,DC=local"
isabelle.lopez,Isabelle Lopez,isabelle.lopez@nova-syndicate.fr,IT,Mobile,Mobile-Agents|IT-Admins,"OU=Agents,DC=nova-syndicate,DC=local"
arthur.mercier,Arthur Mercier,arthur.mercier@nova-syndicate.fr,IT,Mobile,Mobile-Agents|IT-Admins,"OU=Agents,DC=nova-syndicate,DC=local"
lucie.lefevre,Lucie Lefevre,lucie.lefevre@nova-syndicate.fr,Sales,Mobile,Mobile-Agents|Sales,"OU=Agents,DC=nova-syndicate,DC=local"
kevin.michel,Kevin Michel,kevin.michel@nova-syndicate.fr,Sales,Mobile,Mobile-Agents|Sales,"OU=Agents,DC=nova-syndicate,DC=local"
thomas.garcia,Thomas Garcia,thomas.garcia@nova-syndicate.fr,Sales,Mobile,Mobile-Agents|Sales,"OU=Agents,DC=nova-syndicate,DC=local"
charles.morel,Charles Morel,charles.morel@nova-syndicate.fr,Sales,Mobile,Mobile-Agents|Sales,"OU=Agents,DC=nova-syndicate,DC=local"
gaetan.morin,Gaetan Morin,gaetan.morin@nova-syndicate.fr,Sales,Mobile,Mobile-Agents|Sales,"OU=Agents,DC=nova-syndicate,DC=local"
helene.francois,Helene Francois,helene.francois@nova-syndicate.fr,Logistics,Mobile,Mobile-Agents|Logistics,"OU=Agents,DC=nova-syndicate,DC=local"
claire.lambert,Claire Lambert,claire.lambert@nova-syndicate.fr,Logistics,Mobile,Mobile-Agents|Logistics,"OU=Agents,DC=nova-syndicate,DC=local"
cedric.chevalier,Cedric Chevalier,cedric.chevalier@nova-syndicate.fr,Logistics,Mobile,Mobile-Agents|Logistics,"OU=Agents,DC=nova-syndicate,DC=local"
elodie.joly,Elodie Joly,elodie.joly@nova-syndicate.fr,Finance,Mobile,Mobile-Agents|Finance,"OU=Agents,DC=nova-syndicate,DC=local"
eric.dumont,Eric Dumont,eric.dumont@nova-syndicate.fr,Finance,Mobile,Mobile-Agents|Finance,"OU=Agents,DC=nova-syndicate,DC=local"
charles.faure,Charles Faure,charles.faure@nova-syndicate.fr,HR,Mobile,Mobile-Agents,"OU=Agents,DC=nova-syndicate,DC=local"
kevin.perez,Kevin Perez,kevin.perez@nova-syndicate.fr,HR,Mobile,Mobile-Agents,"OU=Agents,DC=nova-syndicate,DC=local"
laurent.denis,Laurent Denis,laurent.denis@nova-syndicate.fr,Compliance,Mobile,Mobile-Agents|Compliance,"OU=Agents,DC=nova-syndicate,DC=local"
helene.blanchard,Helene Blanchard,helene.blanchard@nova-syndicate.fr,Compliance,Mobile,Mobile-Agents|Compliance,"OU=Agents,DC=nova-syndicate,DC=local"
xavier.colin,Xavier Colin,xavier.colin@nova-syndicate.fr,Operations,Mobile,Mobile-Agents,"OU=Agents,DC=nova-syndicate,DC=local"
arthur.legrand,Arthur Legrand,arthur.legrand@nova-syndicate.fr,Operations,Mobile,Mobile-Agents,"OU=Agents,DC=nova-syndicate,DC=local"
thomas.rousseau,Thomas Rousseau,thomas.rousseau@nova-syndicate.fr,Operations,Mobile,Mobile-Agents,"OU=Agents,DC=nova-syndicate,DC=local"
sarah.giraud,Sarah Giraud,sarah.giraud@nova-syndicate.fr,Operations,Mobile,Mobile-Agents,"OU=Agents,DC=nova-syndicate,DC=local"
